px,py,psi,v,steer_value,throttle_value
-40.62,108.73,3.73365,0,0,0
-40.62,108.73,3.73365,3.94202,0,0
-40.6208,108.729,3.73388,6.78585,-0.177324,1
-40.6477,108.698,3.74068,1.76509,-0.436332,1
-40.6984,108.65,3.74705,1.40193,-0.273945,1
-40.8212,108.508,3.77445,2.46979,-0.436332,1
-40.9791,108.309,3.81222,3.75683,-0.436332,1
-41.1975,108.007,3.86736,5.3786,-0.436332,1
-41.4802,107.65,3.9104,7.16868,-0.239432,1
-41.9493,107.188,3.91166,9.0694,0.0678807,1
-42.5876,106.683,3.86826,10.9818,0.187598,1
-43.3721,106.114,3.81973,12.8193,0.127884,1
-44.1741,105.526,3.79704,14.7428,0.0308486,1
-45.0653,104.856,3.79128,16.4409,-0.00605852,1
-46.1819,104.016,3.78764,18.1082,0.0114089,1
-47.4285,103.099,3.77871,20.0973,0.0221262,1
-48.8002,102.108,3.7698,21.8025,0.0106914,1
-50.2891,101.034,3.76715,23.6048,-0.00479618,1
-51.7039,100.004,3.76996,25.1355,-0.0104454,1
-53.588,98.6157,3.77647,27.0219,-0.00907892,1
-55.5967,97.1153,3.78361,28.8704,-0.00769973,1
-57.2901,95.834,3.78954,30.322,-0.00801209,1
-59.0575,94.4801,3.7958,31.7495,-0.0080901,1
-61.1314,92.87,3.80299,33.3274,-0.00742276,1
-63.0486,91.3618,3.80928,34.7055,-0.00676449,1
-65.2847,89.5772,3.81707,36.2285,-0.00873245,1
-67.6001,87.6977,3.82572,37.7233,-0.00856349,1
-69.7225,85.9476,3.83325,39.0289,-0.00655814,1
-71.9042,84.1242,3.84,40.3131,-0.00518968,1
-74.4283,81.9868,3.84688,41.7324,-0.0050605,1
-77.0241,79.7593,3.85346,43.1253,-0.00507884,1
-79.6894,77.4425,3.85993,44.4926,-0.00487082,1
-82.4215,75.0367,3.86642,45.8344,-0.0049417,1
-85.2174,72.5418,3.87326,47.1513,-0.00550509,1
-88.0729,69.9564,3.88084,48.4438,-0.00631732,1
-90.6573,67.5806,3.88838,49.5724,-0.00695892,1
-93.2813,65.1298,3.89672,50.6824,-0.00738637,1
-96.6114,61.9585,3.90814,52.0441,-0.00765499,1
-99.3111,59.3333,3.91796,53.1133,-0.00785949,1
-102.381,56.2843,3.92962,54.295,-0.00798265,1
-104.79,53.842,3.93902,55.1989,-0.00795601,1
-107.563,50.9741,3.95004,56.2159,-0.00788426,1
-110.004,48.3971,3.95988,57.092,-0.00786057,1
-112.808,45.3741,3.97134,58.0777,-0.00785438,1
-115.624,42.2672,3.98327,59.0469,-0.00864794,1
-118.095,39.4791,3.99407,59.8819,-0.0083226,1
-120.924,36.2129,4.00638,60.8215,-0.00749286,1
-123.403,33.2857,4.01698,61.6309,-0.00729899,1
-125.882,30.2942,4.02754,62.4285,-0.00748734,1
-128.361,27.2377,4.03866,63.2142,-0.00923126,1
-131.188,23.6631,4.05222,64.0984,-0.00912336,1
-133.653,20.4637,4.06431,64.8602,-0.00809111,1
-136.458,16.7255,4.07807,65.7173,-0.00796325,1
-138.9,13.3833,4.09023,66.4555,-0.00849965,1
-141.328,9.97441,4.10262,67.183,-0.00845879,1
-143.74,6.49859,4.1153,67.8998,-0.00877502,1
-146.131,2.95517,4.12858,68.6061,-0.00972249,1
-148.498,-0.657229,4.1428,69.3019,-0.0107953,1
-150.834,-4.34043,4.15822,69.9872,-0.0117921,1
-153.134,-8.09658,4.17504,70.6623,-0.0128084,1
-155.708,-12.4817,4.1962,71.4215,-0.0139577,1
-157.904,-16.4023,4.21646,72.0748,-0.0151162,1
-160.036,-20.4032,4.23856,72.718,-0.016383,1
-162.096,-24.4868,4.26256,73.3514,-0.0173013,1
-164.348,-29.257,4.2921,74.0633,-0.0179045,1
-166.207,-33.4925,4.31925,73.5995,-0.0180835,0.178151
-168.136,-38.2507,4.35035,70.1008,-0.0184842,0
-169.628,-42.2499,4.3769,66.7848,-0.0196642,0
-170.946,-46.0931,4.40319,63.5341,-0.020194,0
-172.255,-50.2932,4.43239,60.6504,-0.0204928,0.343983
-173.283,-53.9639,4.45885,61.243,-0.0228421,1
